v_gene,phi_S_n,phi_A_n,phi_R_n
IGHV3-20,0.2842716051492177,0.08777357956135062,0.5655640388541953
IGHV3-20,0.09757637954415499,0.23777493472362723,0.47100092754222456
IGHV3-20,0.1687704894766937,0.13863931107322508,0.57205990411553
IGHV3-20,0.06538747608339482,0.28162094681234334,0.588769126757365
IGHV3-20,0.05642510801921032,0.16278609890879728,0.6709124757704632
IGHV3-20,0.008962368064184496,0.23777493472362723,0.7518429480653326
IGHV3-20,0.16346869020848703,0.18251372785779824,0.5261181476610156
IGHV3-20,0.5680383757174982,0.06362205315268774,0.5728429034365055
IGHV3-20,0.1719262236917343,0.23777493472362723,0.4147128785381684
IGHV3-20,0.04430700573998525,0.31271645008661253,0.5548832287111634
IGHV3-20,0.2842716051492177,0.22110098419355317,0.424367745887901
IGHV3-20,0.15135058792926198,0.08777357956135062,0.6200375171647318
IGHV3-20,0.06223174186835425,0.19391314685253516,0.6102477801658617
IGHV3-20,0.008962368064184496,0.23777493472362723,0.6148557858793996
IGHV3-20,0.49734910036589675,0.04388810642886791,0.6809245601450963
IGHV3-20,0.115501115672524,0.16278609890879728,0.5659204681949394
IGHV3-20,0.08015647799672324,0.13863931107322508,0.6391237160408231
IGHV3-20,0.0,0.31271645008661253,0.6379185039711966
IGHV3-20,0.1392324856500369,0.13863931107322508,0.596177342152299
IGHV3-20,0.20411512715249447,0.16278609890879728,0.5509263518429557
IGHV3-20,0.08911884606090772,0.11890852374394999,0.6874004950125893
IGHV3-20,0.1392324856500369,0.13863931107322508,0.5818986189354269
IGHV3-20,0.09176974569501108,0.19391314685253516,0.5823136146831145
IGHV3-20,0.03269373804169741,0.19391314685253516,0.6196545773099591
IGHV3-20,0.09808121412509223,0.10222555180886596,0.6005584188704663
IGHV3-20,0.02688710419255349,0.31271645008661253,0.5760430767030271
IGHV3-20,0.22784649713000737,0.13863931107322508,0.48065579489195714
IGHV3-20,0.07119410993253875,0.16278609890879728,0.622230743155744
IGHV3-20,0.10969448182338006,0.28162094681234334,0.4147128785381684
IGHV3-20,0.18985095982010328,0.07502568358755965,0.5753676540448837
IGHV3-20,0.08911884606090772,0.11890852374394999,0.6819410795553632
IGHV3-20,0.08596311184586716,0.16278609890879728,0.5971663909620205
IGHV3-20,0.06223174186835425,0.19391314685253516,0.6013718611725215
IGHV3-20,0.6186568498875646,0.02720287761399007,0.5728429034365055
IGHV3-20,0.08911884606090772,0.11890852374394999,0.6620624093313031
IGHV1-2,0.06223174186835425,0.19391314685253516,0.4129504207982809
IGHV1-2,0.0595808422342509,0.11890852374394999,0.4950536136161505
IGHV1-2,0.06854321029843541,0.10222555180886596,0.6135497978054375
IGHV1-2,0.12761921795174905,0.10222555180886596,0.46023889125150574
IGHV1-2,0.0,1.0,0.5808758383421498
IGHV1-2,0.03269373804169741,0.19391314685253516,0.44844552769264684
IGHV1-2,0.008962368064184496,0.23777493472362723,0.54459190466278
IGHV1-2,0.0,0.31271645008661253,0.5714397465149942
IGHV1-2,0.25208270168845753,0.053306032556634346,0.4559105962196652
IGHV1-2,0.1956575936692472,0.08777357956135062,0.4197650592786912
IGHV1-2,0.42034835658421393,0.06362205315268774,0.3798771316299706
IGHV1-2,0.3470081815985091,0.019735000080812835,0.5102091107373673
IGHV1-2,0.0,0.31271645008661253,0.5145117420905333
IGHV1-2,0.18720006018599994,0.04388810642886791,0.5516082793798486
IGHV1-2,0.05326937380416975,0.23777493472362723,0.36963895651683776
IGHV1-2,0.2193889636467601,0.07502568358755965,0.47051729401173475
IGHV1-2,0.08596311184586716,0.16278609890879728,0.40524536064900885
IGHV1-2,0.06538747608339482,0.13863931107322508,0.4189302228938768
IGHV1-2,0.02688710419255349,0.16278609890879728,0.6426688445462565
IGHV1-2,0.46200446269009593,0.035224348284423,0.46723102483012313
