isotype,phi_S_n,phi_A_n,phi_R_n
IgG,0.14554395408011805,0.07502568358755965,0.3541879356910287
IgG,0.035849472256737985,0.13863931107322508,0.5854893750105021
IgG,0.25208270168845753,0.053306032556634346,0.3703160496870849
IgG,0.02688710419255349,0.16278609890879728,0.5140006825838243
IgG,0.014769001913328417,0.31271645008661253,0.377566152372185
IgG,0.06854321029843541,0.10222555180886596,0.5040854198815039
IgG,0.37919708505926936,0.04388810642886791,0.3362048700738517
IgG,0.19250185945420664,0.11890852374394999,0.10389263023869384
IgG,0.4261549904333579,0.07502568358755965,0.21268886791730335
IgG,0.16611958984259037,0.08777357956135062,0.2091650067902728
IgG,0.08280737763082657,0.23777493472362723,0.18536897081734213
IgG,0.1160059502534612,0.07502568358755965,0.50993942518516
IgG,0.14869968829515864,0.053306032556634346,0.5383702773469464
IgG,0.0595808422342509,0.33682539644815823,0.2136921089939517
IgG,0.0,0.31271645008661253,0.4107177579833212
IgG,0.0416561061058819,0.16278609890879728,0.2685817604414702
IgG,0.008962368064184496,0.23777493472362723,0.42648428336919
IgG,0.26104506975264197,0.04388810642886791,0.43815361542363934
IgG,0.28477643973015493,0.035224348284423,0.46431755823248544
IgG,0.18985095982010328,0.07502568358755965,0.2785397872661734
IgG,0.340696713168428,0.053306032556634346,0.23997732256453716
IgG,0.12181258410260513,0.08777357956135062,0.4281832828533495
IgG,0.035849472256737985,0.13863931107322508,0.5018924819944219
IgG,0.2167380640126568,0.04388810642886791,0.4531275709643545
IgG,0.050618474170066395,0.13863931107322508,0.2863896506607545
IgG,0.2700074378168265,0.035224348284423,0.4922261890058379
IgG,0.06854321029843541,0.10222555180886596,0.18729340573437664
IgG,0.2963897074284428,0.053306032556634346,0.2549919711352994
IgG,0.15400148756336532,0.13863931107322508,0.15782237507260466
IgG,0.20512479631436895,0.02720287761399007,0.6077621151856418
IgG,0.02688710419255349,0.16278609890879728,0.5079739813308809
IgG,0.3116635439227084,0.012749212613976702,0.40708830826419407
IgG,0.2193889636467601,0.07502568358755965,0.26352097965181875
IgG,0.17773285754087823,0.11890852374394999,0.13032283508283043
IgG,0.358621449296797,0.035224348284423,0.4011819538401007
IgG,0.0595808422342509,0.11890852374394999,0.36579476913737946
IgG,0.28477643973015493,0.035224348284423,0.4600999763946841
IgG,0.15135058792926198,0.08777357956135062,0.27186629698842635
IgG,0.1160059502534612,0.07502568358755965,0.49180943433924906
IgG,0.08596311184586716,0.16278609890879728,0.10678908990954109
IgG,0.12181258410260513,0.08777357956135062,0.39147140736707464
IgG,0.1101993164043173,0.06362205315268774,0.5999048760729181
IgG,0.4182022915310479,0.0,0.3819566190372507
IgG,0.014769001913328417,0.31271645008661253,0.3554556397331794
IgG,0.1012369483401328,0.07502568358755965,0.5494797798497936
IgG,0.02373136997751291,0.23777493472362723,0.22260627787159287
IgA,0.0,0.31271645008661253,0.6525764168189556
IgA,0.0,0.31271645008661253,0.5273657689669548
