v_gene,n,mean_alpha,mean_beta,mean_gamma,std_alpha,std_beta,std_gamma,lambda_S,lambda_R,r2,n_right,lambda_S_ep,lambda_R_ep,r2_ep,n_ep,R_AID,density_cdr,density_fwr,n_front,pct_front,hv2d_proxy,mean_phi_S,mean_phi_A,mean_phi_R
IGHV1-24,7738,0.8913646284057238,0.03459840321391213,0.07403696838036401,0.10275920977033584,0.06960137079599109,0.06614244057606822,0.0021300493862060907,0.019154716004108133,0.00035987412257998397,7738,0.0,0.02605717719345814,0.00022860357088172467,167,0.24844720496894407,0.023809523809523808,0.09583333333333334,52,0.6720082708710261,0.25051489421575146,0.10132440326132314,0.19982983447834324,0.6402415165911282
IGHV4-NL1,7720,0.9441133019022454,0.05498461928334711,0.0009020788144075022,0.0901109496063009,0.08965156909863504,0.0059261803722745025,0.00766374481585502,0.0,0.0021326390852055566,7720,0.002129692809883958,0.0,0.00025785757857421654,268,0.272108843537415,0.023809523809523808,0.0875,46,0.5958549222797928,0.2431913126870877,0.09957954870088977,0.16204334399476872,0.39677743726704884
IGHV2-26,6943,0.850895547059946,0.04843954996872697,0.10066490297132698,0.10279480065309804,0.07684790170115367,0.06315036086723755,0.0,0.0,0.0,6943,0.005546121467502202,0.039855491829848905,0.001028801025449555,165,0.7619047619047619,0.047619047619047616,0.0625,45,0.6481348120409045,0.3878820309953883,0.10855277599649477,0.17426193545089233,0.6664834002503767
IGHV3-30-3,6722,0.9090937113191021,0.04392140497446244,0.046984883706435436,0.09122221957592162,0.07552932342121917,0.046316863568065435,0.0024112310242028483,0.0,0.0002555192534525741,6722,0.0,0.0,0.0,92,0.6015037593984962,0.047619047619047616,0.07916666666666666,38,0.5653079440642665,0.6056367508879305,0.15603443821872812,0.12023639281363212,0.5819045438454896
IGHV3-13,6392,0.9607359357144227,0.03468776263063913,0.004576301654938066,0.05966530194843066,0.0580639777755231,0.01475509916378998,0.0,0.0662353237632414,0.0008207151111151445,6392,0.0,0.0732569219176637,0.0008242287817681326,230,0.49689440993788814,0.047619047619047616,0.09583333333333334,31,0.48498122653316644,0.6664585315689084,0.12100637699739579,0.16770301338674512,0.43840169194561385
IGHV3-66,6086,0.9390800017102977,0.05541036272971454,0.0055096355599876965,0.09457625724840017,0.09156722996453179,0.015632486018579122,0.0047954374386251185,0.0,0.0006930711988056837,6086,0.028543585016159254,0.0,0.018361664009227563,218,0.38961038961038963,0.03571428571428571,0.09166666666666666,42,0.690108445612882,0.48863861719042845,0.11494206831882374,0.19759274949587477,0.4628813198034334
IGHV4-61,6048,0.928690888488252,0.05443061212249279,0.01687849938925509,0.09443028627143087,0.0879240631587711,0.030941171531247307,0.007657678100274244,0.0,0.0031801130799620214,6048,0.0,0.0,0.0,103,0.25974025974025977,0.023809523809523808,0.09166666666666666,35,0.5787037037037037,0.38016784766392187,0.1354888169178762,0.16045809247605528,0.4837483517754749
IGHV3-73,5420,0.943815718116207,0.05044654377606023,0.0057377381077327845,0.08321344790518052,0.0812125938131406,0.015564900688721421,0.0013869353376188256,0.0,0.00007685785270472589,5420,0.0031136523698601397,0.013973074582971957,0.0003541836434872714,110,0.47619047619047616,0.047619047619047616,0.1,49,0.9040590405904059,0.5592377728807126,0.10383633424148747,0.1597939449621435,0.46763542964283494
IGHV3-43,4175,0.9512705889858234,0.044830408006203464,0.0038990030079731133,0.07234671901326901,0.06966910902184759,0.013490668857843504,0.0,0.0,0.0,4175,0.0,0.0,0.0,118,0.12987012987012989,0.011904761904761904,0.09166666666666666,58,1.3892215568862276,0.7272803122498864,0.15482632976692648,0.1864556336979141,0.461115730556169
IGHV3-64D,3164,0.9626035039553823,0.03388497681366727,0.0035115192309505207,0.061676737332480074,0.059603170047351814,0.012000008813023565,0.0,0.0,0.0,3164,0.018259095684848577,0.0,0.01736069066556334,92,0.6349206349206349,0.047619047619047616,0.075,47,1.4854614412136535,0.784940562777378,0.1519173054413992,0.163836236073178,0.45676063211670254
