v_gene:0,mean_phi_R_naive,std_phi_R_naive,n_naive,mean_phi_R_memory,std_phi_R_memory,n_memory,mean_phi_R_IgG,n_IgG,delta_phi_R,delta_phi_R_IgG,is_ighv434
IGHV3-48,-0.17958693046690127,0.4849729287888303,44814,-0.45259026661546237,0.4231059226524183,52295,-0.43481663748276017,6786,-0.2730033361485611,-0.2552297070158589,false
IGHV3-11,0.07461516364055791,0.4607036917959672,10258,-0.18786402091603702,0.454315327392273,9413,-0.1827510750093055,1759,-0.2624791845565949,-0.2573662386498634,false
IGHV3-20,0.6752073477674655,0.41731893473712695,4521,0.4170012839319227,0.39093449240047895,2582,0.41911847831555404,422,-0.2582060638355428,-0.25608886945191145,false
IGHV4-4,0.027541430481881735,0.46757939971356605,24824,-0.21079589431056664,0.4270959123368127,23638,-0.1514407588268403,3877,-0.23833732479244837,-0.17898218930872203,false
IGHV3-49,-0.042658098105531714,0.48034431559464236,11136,-0.27841600513915493,0.43196955882782784,10726,-0.2734510314167286,1815,-0.2357579070336232,-0.23079293331119688,false
IGHV4-59,-0.12338887089925268,0.45923173761658814,24277,-0.3577463431647928,0.4471664459981044,26089,-0.32521752210621807,3743,-0.23435747226554013,-0.2018286512069654,false
IGHV3-64D,-0.15553102830259952,0.44403946875907396,2536,-0.3817375101913832,0.4115533633606069,3263,-0.41221159033198235,409,-0.22620648188878367,-0.25668056202938283,false
IGHV4-30-4,0.5125391062920627,0.4493266862187948,2694,0.2874037534424508,0.4615376835701672,1504,0.2382340742960768,400,-0.2251353528496119,-0.2743050319959859,false
IGHV4-NL1,-0.47102571658035314,0.4650686074371461,4788,-0.6954239849902369,0.39729985633037146,7933,-0.688710532596867,663,-0.2243982684098838,-0.21768481601651385,false
IGHV3-43D,0.8643902312095407,0.39570033915761155,1400,0.6428954967487569,0.38820763984639256,687,0.5894142723718372,106,-0.22149473446078383,-0.27497595883770354,false
IGHV4-38-2,-0.05332426426905038,0.4617363268333685,11920,-0.2745865474952922,0.4363376689640472,11755,-0.262057671597169,1530,-0.22126228322624183,-0.2087334073281186,false
IGHV1-58,0.6252900251610255,0.47285961884356753,5067,0.40457602118780733,0.42364414955283936,2898,0.4733191374722211,522,-0.22071400397321816,-0.1519708876888044,false
IGHV3-33,0.41618832515132653,0.44581750377668916,55524,0.19564604747795963,0.4013915582540482,34375,0.19873450229164566,6354,-0.2205422776733669,-0.21745382285968087,false
IGHV3-66,-0.19172910208399804,0.4952727909329067,5495,-0.4050059867124587,0.48348560699592047,6340,-0.32133597928199953,791,-0.21327688462846064,-0.12960687719800149,false
IGHV3-53,0.11572001459038046,0.47498593704570996,52651,-0.09255368755585926,0.44785599688868527,44749,-0.18491037527172938,9507,-0.20827370214623972,-0.3006303898621098,false
IGHV4-61,0.18340373520489306,0.4633834483852126,8565,-0.023537098795203656,0.4393258995129616,6246,-0.040924942550643884,1078,-0.20694083400009672,-0.22432867775553694,false
IGHV5-10-1,0.7413991123490249,0.47208562897031314,32176,0.5432664373715713,0.418462778857677,13906,0.557005901597288,3369,-0.19813267497745357,-0.18439321075173687,false
IGHV3-64,-0.16540206575115612,0.44647259098924125,1786,-0.36179436594593817,0.4121762659909002,2200,-0.41971245703596255,229,-0.19639230019478204,-0.2543103912848064,false
IGHV3-23,-0.4587311001477151,0.4497294296161593,97538,-0.6494320708704269,0.4131310061869291,146212,-0.6518993448846925,16945,-0.19070097072271175,-0.19316824473697736,false
IGHV1-3,0.29538752712462507,0.4546286728330271,79491,0.11121288688503217,0.4205112979528847,55707,0.1278572489518155,10760,-0.1841746402395929,-0.16753027817280958,false
IGHV2-70,0.5144598529403991,0.41875220822899034,21605,0.33271911257442094,0.3752383058177143,12609,0.365878892762727,2365,-0.18174074036597815,-0.14858096017767208,false
IGHV4-39,-0.07268184952125545,0.466532775378303,81557,-0.24899085099946938,0.4553896474676342,80858,-0.22739278019678344,10396,-0.17630900147821393,-0.154710930675528,false
IGHV3-9,0.11909524796706328,0.3838394030250984,28614,-0.05503135941337178,0.36297173253143084,23760,-0.06707899347998429,4004,-0.17412660738043506,-0.18617424144704758,false
IGHV1-18,-0.05116429244034806,0.4783084412775037,100011,-0.22046274240118127,0.42818445714816955,97510,-0.22776294745805645,24839,-0.1692984499608332,-0.17659865501770838,false
IGHV3-30,0.20381742392901755,0.44512344032563,57826,0.039107839287156866,0.3958761681720987,43766,0.013914600880781629,7590,-0.1647095846418607,-0.1899028230482359,false
IGHV1-46,0.2296559784865717,0.4608093127004872,58783,0.06721272295291826,0.4194308324781214,43995,0.10061083464888292,8710,-0.16244325553365346,-0.12904514383768878,false
