lineage,v_gene,donor,lambda_S,lambda_R,r2,n_edges
borrow_lesson_artwork_sell_patient_whisper_west_consider,IGHV2-70D,02,0.0,0.0,-0.04312821467790684,4
bottom_chest_unveil_setup_butter_wreck_endless_voice,IGHV3-23,02,0.0,0.0,-0.6839218299454453,5
bounce_help_funny_season_mirror_mesh_truck_check,IGHV3-74,07,0.9772822816941573,0.0,0.5700447119799685,4
brand_transfer_snap_nerve_rose_faculty_armed_endless,IGHV3-48,02,0.0,0.0,-0.2705895697764502,4
brand_update_fetch_business_citizen_lyrics_address_custom,IGHV1-69,02,0.0,0.7720013579704308,-0.04848697187178286,4
brass_artist_scale_pretty_left_menu_boost_august,IGHV1-8,05,0.0,0.0,-0.06736436450189265,13
breeze_march_soft_liberty_silly_sustain_exchange_book,IGHV1-8,05,0.6164280738374183,0.7015609776878815,-0.020945076413001473,4
brick_when_answer_century_merit_almost_great_charge,IGHV4-39,09,0.0,1.8113439710847807,0.15554619339182818,4
brief_essence_heavy_inject_jar_assist_medal_suffer,IGHV3-73,07,0.0,7.541453777996988,0.49993080611612595,6
bright_final_mom_age_cereal_arrow_float_morning,IGHV4-4,07,0.0,0.2665258674860582,-0.000982705947504492,5
bring_result_hammer_detect_connect_alien_amused_letter,IGHV4-NL1,05,0.0,3.7514748187698315,0.0054314727310939,8
brisk_okay_chase_document_cargo_fortune_name_settle,IGHV3-30,02,0.05593863547633283,5.601563213083307,0.5387690480888372,4
bronze_barely_globe_hip_giggle_loop_reveal_bundle,IGHV1-18,11,0.0368009296179207,0.0,-0.0342907729302655,8
brush_reform_thought_conduct_angry_left_furnace_small,IGHV5-51,04,0.03759730036068936,0.0,0.057316881180800916,4
bubble_razor_supreme_key_remain_lemon_tip_carbon,IGHV1-3,02,0.49409999076908306,23.656040410438877,0.6459223094172578,4
buddy_nasty_pulse_dizzy_kind_future_empower_chat,IGHV1-46,08,0.0,3.0558612265427327,0.43657665586769867,5
bulb_physical_sting_add_remind_below_sick_pepper,IGHV1-69,02,0.0,0.0,-0.12206138686833645,5
bulb_roast_fame_input_boring_shaft_volcano_satoshi,IGHV3-7,07,0.007167597290148005,0.0,-0.07678026716437869,6
bulk_safe_wrong_about_horn_spin_scan_human,IGHV3-23,07,0.2996527854247185,0.0,0.2669897969438523,4
bullet_menu_cause_phrase_practice_proud_million_limit,IGHV1-69,02,0.04339724555595596,0.6738795719834055,0.9649951123067693,4
bullet_question_lab_fork_wreck_ring_fatal_injury,IGHV3-13,05,0.0,0.0,-0.002920770000806927,6
burden_business_defense_will_cream_absorb_try_spider,IGHV1-18,07,0.25070348363159295,4.566519996844484,0.6945615843151607,5
business_clerk_combine_warfare_twice_roast_ten_spoil,IGHV3-13,08,0.0,3.3670149193678975,0.3291430544722621,12
business_father_outer_fancy_chicken_thing_shell_dismiss,IGHV3-48,07,0.0,3.993068120323871,0.3176528723578197,5
butter_tragic_grape_either_bean_guess_door_good,IGHV3-74,06,0.11901473730240958,4.761883066494325,0.3516525810686757,7
buyer_better_copy_main_stairs_version_tag_above,IGHV7-4-1,02,0.0,4.236937744898047,0.48695152386153395,7
buzz_park_hood_lucky_voice_will_faculty_dinosaur,IGHV4-4,07,0.0,0.0,-0.12858884580508945,6
buzz_phrase_zone_tourist_suspect_welcome_antique_concert,IGHV1-3,01,0.3647922933986195,0.0,0.5891128245397146,7
cable_custom_congress_double_benefit_kid_share_holiday,IGHV3-23,05,0.03728375928207075,34.84455863498796,0.8740607029365799,4
cage_soldier_twice_pistol_lottery_illegal_liberty_describe,IGHV3-23,07,0.04267770456195016,0.0,0.06263780266228058,4
cage_super_service_cost_kangaroo_worth_cable_mixture,IGHV3-9,05,0.029413054739876536,0.0,0.33946777631778,4
calm_notable_crack_train_retire_increase_employ_kangaroo,IGHV3-33,03,0.0,0.0,-0.007792011274252442,4
cancel_enrich_profit_priority_robot_rebel_among_chest,IGHV4-31,02,0.0800805673962074,10.945055946804727,0.9064641484658589,5
canoe_ahead_muffin_shrug_marble_movie_pear_student,IGHV5-51,09,0.2283849715630165,0.0,0.27657274099139406,4
canyon_web_phone_path_candy_space_finger_jazz,IGHV3-74,07,0.0,0.0,-0.04124445232282814,9
car_floor_burst_snap_exact_brush_bag_reform,IGHV4-34,02,0.125189602205595,0.0,0.23394085972426593,6
car_man_innocent_sister_enough_alter_imitate_waste,IGHV2-5,01,0.0,6.982805146896373,0.2649953714659473,4
